Razão social,CNPJ,Classificação
COIMBRA IMPORTACAO E EXPORTACAO LTD,06.151.921/0001-31,Consumidor Especial
IND E COM DE COLCHOES CASTOR LTD,53.424.594/0001-24,Consumidor Especial
APEL ATIVIDADES PRO ENSINO LTD,01.434.589/0001-07,Consumidor Especial
COLEGIO DOM BOSCO LTDA,76.031.368/0001-89,Consumidor Especial
GRUPO DOM BOSCO LTDA,41.478.561/0001-88,Consumidor Especial
CONGREGACAO DE SANTA CRUZ,60.993.193/0002-31,Consumidor Especial
COLEGIO SANTA MARIA LTDA,10.870.228/0001-96,Consumidor Especial
ASSOCIACAO NOBREGA DE EDUCACAO E ASSISTENCIA SOCIAL - ANEA,33.544.370/0031-64,Consumidor Especial
PROVIDER INDUSTRIA E COMERCIO S/,02.138.483/0001-10,Consumidor Especial
COLECAO INDUSTRIA E COMERCIO DE INFORMATICA| TELECOMUNICACOES E ELETRONICA LTD,06.043.130/0001-98,Consumidor Especial
COLIBRI INDUSTRIA E COMERCIO DE MOVEIS LTD,82.368.283/0001-93,Consumidor Especial
COLINA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS EIREL,07.436.513/0001-99,Consumidor Especial
COLLEY EMBALAGENS LIMITADA,81.300.709/0001-04,Consumidor Especial
COLORTEXTIL PARTICIPACOES LTD,42.789.628/0001-68,Consumidor Especial
COLORFIX ITAMASTER INDUSTRIA DE MASTERBATCHES LIMITAD,01.182.867/0001-78,Consumidor Especial
COLORGRAF GRAFICA EDITORA LTD,73.291.536/0001-87,Consumidor Especial
COLOR VISAO DO BRASIL INDUSTRIA ACRILICA LIMITAD,47.747.969/0001-94,Consumidor Especial
COLOR VISAO DO BRASIL INDUSTRIA ACRILICA LIMITAD,47.747.969/0003-56,Consumidor Especial
COLORMINAS COLORIFICIO E MINERACAO LTD,80.084.809/0001-88,Consumidor Especial
COLOROBBIA BRASIL PRODUTOS PARA CERAMICA LTD,47.939.855/0001-46,Consumidor Especial
COLOROBBIA NORDESTE PRODUTOS PARA CERAMICA LTDA,04.019.729/0001-60,Consumidor Especial
DISTRIBUIDORA DE VIDROS UBA LTD,02.497.408/0001-46,Consumidor Especial
COMATI LOCADORA DE EQUIPAMENTOS LTD,00.724.959/0001-70,Consumidor Especial
COMBIO ENERGIA S.A.,10.376.555/0001-96,Consumidor Especial
COMBRASIL CIA BRASIL CENTRAL COMERCIO E INDUSTRIA - EM RECUPERACAO JUDICIA,01.022.318/0001-36,Consumidor Especial
COMBUSTOL INDUSTRIA E COMERCIO LTDA,61.479.689/0001-73,Consumidor Especial
COMBUSTOL MINAS TRATAMENTO TERMICO LTD,10.440.731/0001-01,Consumidor Especial
COMEGA INDUSTRIA DE TUBOS LTDA,55.972.954/0001-58,Consumidor Especial
COMEP INDUSTRIA E COMERCIO LTD,00.641.088/0001-20,Consumidor Especial
COMERCIAL GAIVOTAS LTDA.,05.069.445/0001-41,Consumidor Especial
COMERCIAL MILANO BRASIL LTDA,01.920.177/0001-79,Consumidor Especial
ORGANIZACAO DE CEREAIS MONLEVADE LTD,18.107.045/0001-25,Consumidor Especial
COMERCIAL REIS LTDA,03.044.201/0001-89,Consumidor Especial
COMERCIAL SUPER BIG DE ALIMENTOS LTD,16.593.945/0001-02,Consumidor Especial
SUPERMERCADO COMETA EIRELI,06.887.668/0001-89,Consumidor Especial
COMETAIS INDUSTRIA E COMERCIO DE METAIS LTD,02.896.727/0001-24,Consumidor Especial
COMFRIO SOLUCOES LOGISTICAS S/,01.413.969/0001-57,Consumidor Especial
COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIAN,02.077.618/0001-85,Consumidor Especial
COMIL ONIBUS S.A. - EM RECUPERACAO JUDICIA,00.940.956/0001-73,Consumidor Especial
COMIL COVER SAND INDUSTRIA E COMERCIO LTD,00.653.149/0002-50,Consumidor Especial
COMIL SILOS E SECADORES LTDA,76.061.480/0001-62,Consumidor Especial
COMING INDUSTRIA E COMERCIO DE COUROS LTD,00.129.569/0001-51,Consumidor Especial
COOPERATIVA MISTA AGROPECUARIA DO VALE DO ARAGUAI,01.167.501/0001-20,Consumidor Especial
COMERCIAL ESPERANCA ATACADISTA IMPORTACAO E EXPORTACAO LTD,49.092.398/0001-22,Consumidor Especial
COMP - INDUSTRIA E COMERCIO DE METAIS LTD,82.439.134/0001-78,Consumidor Especial
CPE - COMPOSTOS PLASTICOS DE ENGENHARIA LTDA,11.272.246/0001-39,Consumidor Especial
COMPANHIA DE CANETAS COMPACTOR,30.742.555/0001-70,Consumidor Especial
COMPALEAD ELETRONICA DO BRASIL INDUSTRIA E COMERCIO LTDA,10.142.624/0001-05,Consumidor Especial
COMPANHIA METALURGICA PRADA,56.993.900/0001-31,Consumidor Especial
COMPASS MINERALS AMERICA DO SUL INDUSTRIA E COMERCIO S.,60.398.138/0001-12,Consumidor Especial
COMPENSA IND E COM DE COMPENSADOS LTD,00.107.365/0001-10,Consumidor Especial
COMPENSA MINERADORA LTDA,18.816.898/0001-36,Consumidor Especial
AGRO FLORESTAL CONFIANCA LTDA,04.414.543/0001-06,Consumidor Especial
COMPENSADOS IMPERIO LTDA,80.813.710/0001-70,Consumidor Especial
COMPENSADOS LASELVA LTDA.,00.144.009/0001-76,Consumidor Especial
COMPENSADOS NM LTDA,04.217.291/0001-25,Consumidor Especial
COMPENSADOS PINHAL LTDA.,03.531.503/0001-81,Consumidor Especial
COMPESCAL COMERCIO DE PESCADO ARACATIENSE LTD,07.108.145/0001-50,Consumidor Especial
CONDOMINIO COMPLEXO HOTELEIRO BRASILI,03.561.788/0001-01,Consumidor Especial
COMPLEXO HOSPITALAR UBERLANDIA S.,17.087.591/0001-89,Consumidor Especial
COMPONENT INDUSTRIA E COMERCIO LTD,62.672.415/0001-69,Consumidor Especial
SCB DISTRIBUICAO E COMERCIO VAREJISTA DE ALIMENTOS LTDA,30.197.161/0001-88,Consumidor Especial
CIA DE ADMINISTRACAO DE TERM.URBANOS E CENTR.COMERCIAI,00.748.058/0001-18,Consumidor Especial
COMTRAFO INDUSTRIA DE TRANSFORMADORES ELETRICOS S.A,00.138.806/0001-40,Consumidor Especial
CONCREBASE SERVICOS DE CONCRETAGEM LTD,55.204.002/0001-94,Consumidor Especial
CONCRESUL BRITAGEM LTDA,87.547.675/0001-33,Consumidor Especial
CONCRETO COLATINA LTDA,14.453.280/0001-06,Consumidor Especial
CONCREVALLE CONCRETO VALLE DO IGUACU LTD,11.279.026/0001-37,Consumidor Especial
CONDOMINIO BARRA,16.275.232/0001-92,Consumidor Especial
CONDOMINIO DO CATUAI SHOPPING CENTER MARING,13.687.914/0001-14,Consumidor Especial
CONDOMINIO ITOWER IGUATEMI ALPHAVILL,13.805.493/0001-89,Consumidor Especial
CONDOMINIO LOG I BUSINESS PAR,18.475.359/0001-80,Consumidor Especial
CONDOMINIO LOG II BUSINESS PAR,18.230.039/0001-60,Consumidor Especial
CONDOMINIO LOG GOIANIA I BUSINESS PAR,19.565.701/0001-04,Consumidor Especial
CONDOMINIO LOG HORTOLANDIA BUSINESS PAR,21.083.562/0001-16,Consumidor Especial
CONDOMINIO COMERCIAL LOG ITATIAIA,26.846.268/0001-32,Consumidor Especial
CONDOMINIO LOG JUNDIAI,27.616.723/0001-76,Consumidor Especial
CONDOMINIO LOG LONDRINA,28.039.103/0001-84,Consumidor Especial
CONDOMINIO LOG VIA EXPRESSA,22.262.038/0001-75,Consumidor Especial
CONDOMINIO LOG VIANA,23.204.413/0001-93,Consumidor Especial
CONDOMINIO DO CENTRO EMPRESARIAL DO SHOPPING MESTRE ALVAR,15.468.730/0001-99,Consumidor Especial
CONDOMINIO NACOES SHOPPING,32.994.401/0001-09,Consumidor Especial
CONDOMINIO EDIFICIOS NEW YORK E LOS ANGELE,05.339.136/0001-44,Consumidor Especial
CONDOMINIO EDILICIO PATIO BELE,84.154.160/0001-85,Consumidor Especial
CONDOMINIO DO EDIFICIO PLAZA SHOPPIN,30.183.867/0001-90,Consumidor Especial
CONDOMINIO DO SERRAMAR PARQUE SHOPPIN,16.807.903/0001-19,Consumidor Especial
CONDOMINIO SHOPPING DA BAHIA,14.804.587/0001-04,Consumidor Especial
CONDOMINIO DO SHOPPING CONTAGEM,28.112.396/0001-88,Consumidor Especial
CONDOMINIO DO EDIFICIO WORK CENTE,12.316.126/0001-59,Consumidor Especial
CONDAT LUBRIFICANTES DO BRASIL INDUSTRIA E COMERCIO LTDA,07.129.683/0001-20,Consumidor Especial
CONDEX INDUSTRIA E COMERCIO DE CONDUTORES ELETRICOS LTD,04.117.852/0001-14,Consumidor Especial
CONDOMINIO BRASIL 21,07.839.422/0001-02,Consumidor Especial
CONDOMINIO DO CENTRO ADMINISTRATIVO CIDADE NOV,21.722.161/0001-69,Consumidor Especial
CONDOMINIO DO CENTRO EMPRESARIAL DO AC,04.370.035/0001-73,Consumidor Especial
CONDOMINIO DO EDIFICIO ARCEL,58.390.717/0001-77,Consumidor Especial
CONDOMINIO DO EDIFICIO JARDIM BARRA DA TIJUC,29.273.109/0001-84,Consumidor Especial
CONDOMINIO EDIFICIO JK FINANCIAL CENTE,03.800.330/0001-50,Consumidor Especial
CONDOMINIO LARANJEIRAS,30.322.150/0001-82,Consumidor Especial
CONDOMINIO DO EDIFICIO LE MONDE OFFIC,09.429.039/0001-01,Consumidor Especial
CONDOMINIO MEDIC LIFE,15.682.436/0001-85,Consumidor Especial
CONDOMINIO DO EDIFICIO MICROSERVICE,22.045.789/0001-30,Consumidor Especial
CONDOMINIO GERAL DO MILLENNIUM CENTE,07.119.723/0001-53,Consumidor Especial
CONDOMINIO DO EDIFICIO NOVOCAIS DO PORT,28.099.072/0001-57,Consumidor Especial
CONDOMINIO EDIFICIO NOVA SAO PAUL,00.924.493/0001-56,Consumidor Especial
CONDOMINIO PARQUE BALNEARIO CENTE,52.252.798/0001-62,Consumidor Especial
CONDOMINIO DO CENTRO EMPRESARIAL PASSEIO,21.175.573/0001-26,Consumidor Especial
CONDOMINIO PAULISTA 1230,21.253.393/0001-15,Consumidor Especial
CONDOMINIO DO PERIM CENTER,16.572.164/0001-23,Consumidor Especial
CONDOMINIO SHOPPING CIDADE,32.135.034/0001-80,Consumidor Especial
CONDOMINIO SHOPPING PELOTAS,21.312.589/0001-33,Consumidor Especial
CONDOMINIO DO EDIFICIO SHERATON BARR,06.275.513/0001-91,Consumidor Especial
VIP VII - EMPREENDIMENTOS E PARTICIPACOES S.A. (EM LIQUIDACAO),11.284.022/0001-47,Consumidor Especial
CONDOMINIO LOG RIO,29.857.060/0001-07,Consumidor Especial
CONDOR SUPER CENTER LTDA,76.189.406/0001-26,Consumidor Especial
CONDOR S.A,86.046.448/0001-61,Consumidor Especial
CONDOR INDUSTRIA DE PLASTICOS LTDA,12.073.475/0001-97,Consumidor Especial
CONDULLI S/A IMOVEIS E PARTICIPACOES,61.085.031/0001-87,Consumidor Especial
CONDUMAX - ELETRO METALURGICA CIAFUNDI LTD,53.224.127/0005-84,Consumidor Especial
CONDUMIG INDUSTRIA DE CONDUTORES ELETRICOS MINAS GERAIS S.A,65.207.177/0001-09,Consumidor Especial
CONDUTEC INDUSTRIA DE MATERIAIS FERROVIARIOS LTD,66.278.680/0001-18,Consumidor Especial
COOPERATIVA DE TRABALHO NOVA ESPERANC,02.756.023/0001-56,Consumidor Especial
CONEXAO MARITIMA - SERVICOS LOGISTICOS S.A,08.473.312/0001-24,Consumidor Especial
CONFAB INDUSTRIAL SOCIEDADE ANONIM,60.882.628/0001-90,Consumidor Especial
CONFECCOES CHILDREN LTDA,19.776.541/0001-34,Consumidor Especial
CONFECCOES MERPA SAO PAULO LTD,27.084.474/0001-15,Consumidor Especial
CONFEPAR AGRO-INDUSTRIAL COOPERATIVA,76.531.581/0001-50,Consumidor Especial
CONFIBRA INDUSTRIA E COMERCIO LTD,45.828.654/0001-46,Consumidor Especial
CONFINA ALIMENTOS INDUSTRIAL LTD,74.657.784/0001-61,Consumidor Especial
INDUSTRIA E COMERCIO GRAFICA CONSELHEIRO LTD,43.336.056/0001-24,Consumidor Especial
CONIMEL EMPRESA DE MATERIAL ELETRICO LTD,69.295.731/0001-08,Consumidor Especial
CONDOMINIO DO CONJUNTO NACIONAL BRASILI,00.719.559/0001-76,Consumidor Especial
CONPLY INDUSTRIA DE COMPENSADOS LTD,05.234.373/0006-55,Consumidor Especial
INDUSTRIALIZADORA ITAGUARA EIREL,11.262.497/0001-32,Consumidor Especial
CONSBRITA LTDA,03.750.590/0001-68,Consumidor Especial
CONSERVAS ODERICH SA,97.191.902/0010-85,Consumidor Especial
ANGELO AURICCHIO COMPANHIA LTD,62.598.586/0001-95,Consumidor Especial
CONSIGAZ-DISTRIBUIDORA DE GAS LTD,01.597.589/0002-09,Consumidor Especial
CONSILOS INDUSTRIAL LTDA,76.533.629/0001-69,Consumidor Especial
CONSORCIO CX SHOPPING,32.215.331/0001-35,Consumidor Especial
ARTEFATOS DE CONCRETO E CERAMICA ROHR EIREL,93.436.350/0001-86,Consumidor Especial
CONSTRUTORA OLIVEIRA LTDA,80.095.466/0006-61,Consumidor Especial
CONSTRUTORA SERRA DA PRATA LTD,82.083.270/0001-78,Consumidor Especial
COOPERATIVA DE CONSUMO DOS EMPREGADOS DA USIMINAS LTD,19.860.683/0001-85,Consumidor Especial
CONSULTATUM ADMINISTRACAO E PARTICIPACOES LTD,02.415.328/0001-02,Consumidor Especial
CONTINENTAL BRASIL INDUSTRIA AUTOMOTIVA LTD,48.754.139/0001-57,Consumidor Especial
CONTITECH DO BRASIL PRODUTOS AUTOMOTIVOS E INDUSTRIAIS LTDA,08.832.031/0004-63,Consumidor Especial
CONTERMAS - ARRENDATARIA NOVO TERMINAL MARITIMO DE SALVADOR SPE S.,26.822.234/0001-08,Consumidor Especial
CONTINENTAL PARAFUSOS S/A,45.580.693/0001-77,Consumidor Especial
CONTINENTAL EMBALAGENS E INDUSTRIA DE CAIXAS LTD,03.132.254/0001-51,Consumidor Especial
CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTD,02.036.483/0008-86,Consumidor Especial
ADMINISTRADORA DO CONTINENTAL SHOPPING LTD,47.187.794/0001-08,Consumidor Especial
CONTINENTE EMPREENDIMENTOS IMOBILIARIOS LTD,31.546.666/0001-73,Consumidor Especial
CONTRATIL EMBALAGENS LTDA.,03.691.529/0001-97,Consumidor Especial
FREIOS CONTROIL LTDA,90.492.695/0001-69,Consumidor Especial
CONDOMINIO CONTINENTAL SQUARE FARIA LIM,05.978.315/0001-21,Consumidor Especial
PROK BRASIL INDUSTRIA DE COMPONENTES LTD,26.950.902/0001-82,Consumidor Especial
REFRIGERANTES CONVENCAO RIO LTD,28.293.066/0001-36,Consumidor Especial
CONVERPLAST EMBALAGENS LTDA,52.616.232/0001-72,Consumidor Especial
COOPERATIVA AGROPECUARIA CAMPONOVENSE,95.851.390/0001-10,Consumidor Especial
COONAGRO COOPERATIVA NACIONAL AGROINDUSTRIA,84.828.003/0001-08,Consumidor Especial
COOPERATIVA AGRICOLA MISTA AGUDO LTD,00.212.727/0001-32,Consumidor Especial
COOP - COOPERATIVA DE CONSUMO,57.508.426/0001-78,Consumidor Especial
COOPERATIVA REGIONAL DE COMERCIALIZACAO DO EXTREMO OESTE - COOPEROEST,01.435.328/0001-01,Consumidor Especial
COOPERATIVA AGRICOLA PASTORIL LTD,01.665.451/0001-00,Consumidor Especial
COOPERATIVA SANTA CLARA LTDA,88.587.357/0001-69,Consumidor Especial
COOPERATIVA AGROPECUARIA DO ALTO PARANAIB,86.675.642/0001-06,Consumidor Especial
COOPERATIVA MISTA AGRO PECUARIA DE PATOS DE MINAS LTD,23.338.189/0001-22,Consumidor Especial
COOPAVEL COOPERATIVA AGROINDUSTRIAL,76.098.219/0001-37,Consumidor Especial
COOPERATIVA AGROPECUARIA CENTRO SERRAN,27.942.085/0001-83,Consumidor Especial
COOPERATIVA CAXIAS DE MOVEIS LTD,03.996.735/0001-05,Consumidor Especial
COOPERATIVA DE PRODUCAO E ABASTECIMENTO DO VALE DO ITAJA,82.647.165/0001-14,Consumidor Especial
COOPERATIVA JURITI,84.093.137/0001-28,Consumidor Especial
COOPERATIVA LATICINIOS DE SAO JOSE DOS CAMPO,60.179.462/0001-40,Consumidor Especial
COOPERATIVA REGIONAL AGROPECUARIA DE MACUCO LIMITAD,29.277.167/0001-86,Consumidor Especial
COOPERATIVA AGRO PECUARIA VALE DO RIO DOCE LTD,20.598.645/0033-62,Consumidor Especial
COOPERBEM - COOPERATIVA DE BENEFICIAMENTO DE ALGODAO DO MATO GROSS,07.660.940/0001-56,Consumidor Especial
COOPERATIVA DE CONSUMO COOPERCICA,50.974.732/0001-50,Consumidor Especial
COOPERCITRUS COOPERATIVA DE PRODUTORES RURAI,45.236.791/0001-91,Consumidor Especial
COOPERATIVA DOS PRODUTORES DE CARNE E DERIVADOS DE GURUP,02.964.051/0001-69,Consumidor Especial
COOPERATIVA AGROINDUSTRIAL COOPERJ,85.667.947/0001-03,Consumidor Especial
COOPERMACA INDUSTRIA E COMERCIO DE MACAS LTD,07.884.092/0001-69,Consumidor Especial
COOPERATIVA AGROINDUSTRIAL PARAGOMINENSE - COOPERNORT,14.718.125/0001-66,Consumidor Especial
COOPERPLAST INDUSTRIA E COMERCIO EIREL,03.238.278/0001-90,Consumidor Especial
COOP.REGIONAL AGRO-PECUARIA DE SANTA RITA DO SAPUCAI LTD,24.490.401/0001-35,Consumidor Especial
COOPERATIVA REGIONAL AGROPECUARIA SERRAN,83.294.215/0001-90,Consumidor Especial
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTD,02.675.611/0001-65,Consumidor Especial
COOPERATIVA AGROPECUARIA TRADICAO,05.528.196/0001-05,Consumidor Especial
COOPERATIVA AGRO PECUARIA DO VALE DO PARACATU LTD,23.153.943/0001-50,Consumidor Especial
REDE LOCAL DE PRODUTOS ALIMENTICIOS EIREL,06.227.913/0001-21,Consumidor Especial
COOPNOROESTE - COOPERATIVA AGROPECUARIA DO OESTE DE MATO GROSSO LTD,03.548.401/0001-79,Consumidor Especial
COOPERATIVA DOS PRODUTORES RURAIS DO PRATA LTD,24.021.677/0001-74,Consumidor Especial
SOLCERA DO BRASIL MATERIAIS AVANCADOS LTDA,12.081.776/0001-62,Consumidor Especial
COOPERATIVA DE TRABALHO TEXTIL GALOPOLIS LTDA - COOTEGA,03.222.609/0001-01,Consumidor Especial
COOPERATIVA REGIONAL DE CAFEICULTORES EM GUAXUPE LTDA COOXUP,20.770.566/0001-00,Consumidor Especial
COPAG DA AMAZONIA S A,04.664.637/0001-33,Consumidor Especial
COOPERATIVA AGROINDUSTRIAL COPAGRI,81.584.278/0001-55,Consumidor Especial
COOPERATIVA AGROPECUARIA DE TUBARA,86.439.494/0001-20,Consumidor Especial
COPAPA CIA PADUANA DE PAPEIS,31.590.862/0001-45,Consumidor Especial
COPARROZ - COOPERATIVA AGROINDUSTRIAL RIO PARD,95.111.100/0001-00,Consumidor Especial
COPASIL QUIMICA INDUSTRIAL LTDA,12.216.168/0001-18,Consumidor Especial
COPASUL COOPERATIVA AGRICOLA SUL MATOGROSSENS,03.902.129/0001-83,Consumidor Especial
COPASUL COOPERATIVA AGRICOLA SUL MATOGROSSENS,03.902.129/0016-60,Consumidor Especial
COPASUL COOPERATIVA AGRICOLA SUL MATOGROSSENS,03.902.129/0002-64,Consumidor Especial
ELISANDRO LEONARDO COPATTI EIREL,09.521.382/0001-73,Consumidor Especial
COPAVE ARTEFATOS DE BORRACHA LTDA,59.229.161/0001-02,Consumidor Especial
COPAZA DESCARTAVEIS PLASTICOS LTD,85.151.504/0001-65,Consumidor Especial
COPELMI MINERACAO LTDA,33.059.528/0001-95,Consumidor Especial
COOPERATIVA REGIONAL AGROPECUARIA DE CAMPOS NOVOS - COPERCAMPO,83.158.824/0001-11,Consumidor Especial
COOPERATIVA DOS PLANTADORES DE CANA DO OESTE DO ESTADO DE SAO PAUL,71.320.915/0001-22,Consumidor Especial
COOPERATIVA DE PRODUCAO E CONSUMO CONCORDI,83.573.212/0001-95,Consumidor Especial
COMPANHIA AUXILIAR DE ARMAZENS GERAI,61.145.488/0001-30,Consumidor Especial
COMPANHIA AUXILIAR DE ARMAZENS GERAI,61.145.488/0003-00,Consumidor Especial
COPOBRAS INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,03.210.400/0001-10,Consumidor Especial
INDUSTRIA E COMERCIO DE PLASTICOS ZANINI LTD,01.883.423/0001-60,Consumidor Especial
COPPER INDUSTRIA E COMERCIO DE VERGALHOES EIREL,10.193.734/0001-98,Consumidor Especial
COPPERFIO INDUSTRIA E COMERCIO LTD,56.059.702/0001-03,Consumidor Especial
COPPERSTEEL BIMETALICOS LTDA,49.808.421/0001-32,Consumidor Especial
COPRA INDUSTRIA ALIMENTICIA LTD,02.736.595/0001-73,Consumidor Especial
COQUEIROS SUPERMERCADOS LTDA,94.921.301/0001-00,Consumidor Especial
CORADINI ALIMENTOS LTDA,87.675.518/0001-03,Consumidor Especial
PURAC SINTESES INDUSTRIA E COMERCIO LIMITAD,28.942.225/0002-67,Consumidor Especial
CORDEBRAS LTDA,03.872.978/0001-31,Consumidor Especial
CORDEIRO INDUSTRIA E COMERCIO DE FARINHA E GORDURA ANIMAL LTD,05.295.680/0001-31,Consumidor Especial
CORDEIRO CABOS ELETRICOS S.A.,14.197.209/0001-00,Consumidor Especial
CORDOARIA BRASIL INDUSTRIA E COMERCIO DE CORDAS EIREL,09.454.624/0001-53,Consumidor Especial
"ESTAMPARIA CORES &amp, TONS LTD",00.074.023/0001-40,Consumidor Especial
CORETEX INDUSTRIA TEXTIL LTDA,83.445.288/0001-35,Consumidor Especial
CORETRANS COMERCIAL LTDA,77.912.053/0001-03,Consumidor Especial
CORFIO INDUSTRIA E COMERCIO DE MATERIAIS ELETRICOS LTD,06.296.755/0001-61,Consumidor Especial
CORGRAF GRAFICA E EDITORA LTD,00.330.966/0001-97,Consumidor Especial
MOINHO CORINA ALIMENTOS EIRELI,08.158.596/0001-64,Consumidor Especial
COOPERATIVA RIZICOLA PITANGUEIRAS LTD,96.300.082/0001-69,Consumidor Especial
CORNING COMUNICACOES OPTICAS S.A,42.424.267/0001-56,Consumidor Especial
ABATEDOURO COROAVES LTDA,75.729.038/0001-07,Consumidor Especial
CONDOMINIO CORPORATE FINANCIAL CENTE,01.456.106/0001-67,Consumidor Especial
CORPUS SANEAMENTO E OBRAS LTD,31.733.363/0008-36,Consumidor Especial
CORR PLASTIK NORDESTE INDUSTRIAL LTD,08.984.318/0001-66,Consumidor Especial
CORRADI MAZZER TEXTIL LTDA,03.731.548/0001-08,Consumidor Especial
CORRECTA INDUSTRIA E COMERCIO LTDA,02.957.104/0001-14,Consumidor Especial
CORREIAS MERCURIO SA INDUSTRIA E COMERCI,50.937.564/0001-23,Consumidor Especial
CORRIERI ALIMENTOS LTDA.,95.592.697/0001-43,Consumidor Especial
COMPANHIA RIOGRANDENSE DE SANEAMENTO CORSA,92.802.784/0001-90,Consumidor Especial
CORTAG INDUSTRIA E COMERCIO LTDA,00.808.396/0001-06,Consumidor Especial
CORTALINA INDUSTRIAL LTDA,03.654.610/0001-05,Consumidor Especial
DOW AGROSCIENCES INDUSTRIAL LTD,47.180.625/0001-46,Consumidor Especial
INDUSTRIA DE PRODUTOS ALIMENTICIOS CORY LTD,51.665.073/0001-33,Consumidor Especial
COSAN LUBRIFICANTES E ESPECIALIDADES S.A,33.000.092/0001-69,Consumidor Especial
COMPANHIA DE SANEAMENTO DO PAR,04.945.341/0001-90,Consumidor Especial
COSENTINO LATINA LTDA,04.885.413/0001-51,Consumidor Especial
COSIMAT SIDERURGICA DE MATOZINHOS LTD,03.200.559/0001-53,Consumidor Especial
COSMA DO BRASIL PRODUTOS E SERVICOS AUTOMOTIVOS LTDA,02.591.818/0001-51,Consumidor Especial
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A,61.082.426/0016-02,Consumidor Especial
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A,61.082.426/0012-89,Consumidor Especial
COSPLASTIC INDUSTRIA E COMERCIO DE EMBALAGENS LTDA EM RECUPERACAO JUDICIA,37.305.471/0001-18,Consumidor Especial
COSTA MARINE INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,08.369.458/0002-05,Consumidor Especial
COSTA MULTICANAL S/A,27.289.076/0001-35,Consumidor Especial
COSTA RICA MALHAS E CONFECCOES LTD,02.944.599/0048-00,Consumidor Especial
COSTA RICA MALHAS E CONFECCOES LTD,02.944.599/0028-67,Consumidor Especial
SAUIPE S/A,00.866.577/0001-80,Consumidor Especial
COSTA SUL PESCADOS S/A,81.599.359/0001-29,Consumidor Especial
CONDOMINIO DO SHOPPING CENTER COSTA DOURADA S/,11.737.619/0001-08,Consumidor Especial
COSTAZUL  ALIMENTOS EIRELI,17.493.338/0001-25,Consumidor Especial
COTESI DO BRASIL - COMERCIO| INDUSTRIA DE FIOS E PARTICIPACOES LTD,05.769.698/0001-28,Consumidor Especial
COTIPLAS IND E COMERCIO DE ARTEFATOS PLASTICOS LTD,48.725.956/0001-87,Consumidor Especial
COTRAGON EXTRACAO COMERCIO DE AREIA LTD,75.193.698/0001-08,Consumidor Especial
COOPERATIVA AGRICOLA MISTA GENERAL OSORIO LTD,90.657.289/0001-09,Consumidor Especial
COOPERATIVA TRITICOLA MISTA CAMPO NOVO LTD,88.094.701/0001-88,Consumidor Especial
COOPERATIVA TRITICOLA DE ESPUMOSO LTD,89.677.595/0001-28,Consumidor Especial
COTRIGUACU COOPERATIVA CENTRAL,77.118.131/0001-00,Consumidor Especial
COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIA,91.495.549/0001-50,Consumidor Especial
COTRIJUC - COOPERATIVA AGROPECUARIA JULIO DE CASTILHO,91.023.168/0001-78,Consumidor Especial
COTRILAC - COMERCIO| TRANSPORTE E INDUSTRIA DE LACTEOS LTD,02.875.405/0001-07,Consumidor Especial
COTRIPAL AGROPECUARIA COOPERATIVA,91.982.496/0001-00,Consumidor Especial
COOPERATIVA TRITICOLA SARANDI LTD,97.320.451/0001-48,Consumidor Especial
COOPERATIVA TRITICOLA SEPEENSE LTD,97.225.346/0001-20,Consumidor Especial
COOPERATIVA TRITICOLA TAPERENSE LTD,97.663.728/0001-35,Consumidor Especial
COOPERATIVA TRITICOLA CACAPAVANA LTD,87.678.132/0001-55,Consumidor Especial
ALGODOEIRA COTTON NOVA PRATA LTD,37.354.699/0001-06,Consumidor Especial
HIGIE PLUS COTTONBABY INDUSTRIA E COMERCIO LTD,95.837.316/0001-49,Consumidor Especial
COUROQUIMICA COUROS E ACABAMENTOS LTDA EM RECUPERACAO JUDICIA,50.719.061/0001-81,Consumidor Especial
COUROS HIDRO INDUSTRIA E COMERCIO EIREL,10.859.915/0001-00,Consumidor Especial
COUROS NOBRE BENEFICIAMENTO LTD,91.198.630/0001-78,Consumidor Especial
COUTOFLEX INDUSTRIA DE MANGUEIRAS LTD,02.655.093/0001-18,Consumidor Especial
COVOLAN INDUSTRIA TEXTIL LTDA,56.724.412/0001-29,Consumidor Especial
COZIMAX MOVEIS MIRASSOL LTDA,02.043.201/0001-00,Consumidor Especial
CP KELCO BRASIL S/A.,54.105.671/0001-46,Consumidor Especial
CPA ARMAZENS GERAIS LTDA,03.836.990/0001-90,Consumidor Especial
CASA PUBLICADORA DAS ASSEMBLEIAS DE DEU,33.608.332/0001-02,Consumidor Especial
CPE PLASTICOS LTDA,10.756.910/0002-33,Consumidor Especial
CRUZEIRO PAPEIS INDUSTRIAIS LTD,48.410.211/0002-00,Consumidor Especial
