RAZAO,CNPJ,NOME_FANTASIA,DATA_ABERTURA,CNAE,DESCRICAO_CNAE,NATUREZA_JURIDICA,DESCRICAO_NATUREZA_JURIDICA,TIPO,TITULO,LOGRADOURO,NUMERO,COMPLEMENTO,ENDERECO,BAIRRO,CIDADE,UF,CEP,DDD1,FONE1,DDD2,FONE2,SITUACAO_CADASTRAL,MATRIZ,PORTE,FATURAMENTO_PRESUMIDO_ANUAL,QTD_PROPRIETARIO,QTD_FUNCIONARIOS
PRESMAK TECNICA EM INJETADOS EIRELI, 07.651.602/0001-58,,13/10/2005,2452100,Fundição de metais não ferrosos e suas ligas,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),PRACA,,FORTE DO LEME,360,,FORTE DO LEME,PARQUE INDUSTRIAL SAO LOURENCO,SAO PAULO,SP,8140010,11,949597777,11,947199674,ATIVA,1,GRANDE,41500000,2,499
SULPRINT EMBALAGENS INDUSTRIAIS LTDA, 95.422.697/0001-03,,12/08/1966,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RUA,PADRE,AMSTAD,388,CXP 195,R PE AMSTAD 388 CXP 195,UNIVERSITARIO,SANTA CRUZ DO SUL,RS,96815680,51,21073065,51,37171300,ATIVA,1,MÉDIA,12125000,5,434
ESSILOR DA AMAZONIA INDUSTRIA E COMERCIO LTDA, 54.612.650/0001-17,,30/07/1985,3250707,Fabricação de artigos ópticos,2062,Sociedade Empresária Limitada ,AVENIDA,,CUPIUBA,557,,AV CUPIUBA 557,DISTRITO INDUSTRIAL I,MANAUS,AM,69075060,92,33431722,92,36228889,ATIVA,1,MÉDIA,236000000,6,1356
ALTERNATIVA COMPONENTES LTDA, 04.572.201/0001-14,ALTERNATIVA COMPONENTES,18/07/2001,2599399,Fabricação de outros produtos de metal não especificados anteriormente,2062,Sociedade Empresária Limitada ,ESTRADA,,ABRAMO PERINI,834,VI LEGUA SAO V IRGILIO,EST ABRAMO PERINI 834 VI LEGUA SAO V IRGILIO,CRUZEIRO,CAXIAS DO SUL,RS,95076421,54,30271414,54,40098888,ATIVA,1,MÉDIA,30000000,3,381
NATURAL ONE S.A., 08.192.116/0003-43,,05/04/2010,1033302,Fabricação de sucos de frutas| hortaliças e legumes| exceto concentrados,2054,Sociedade Anônima Fechada ,AVENIDA,,PROGRESSO,1000,1000,AV PROGRESSO 1000 1000,PTE ALTA,JARINU,SP,13240000,34,999307931,48,991594224,ATIVA,0,GRANDE,236000000,4,508
GLASS TEMPER GTSUL INDUSTRIA E COMERCIO DE VIDROS EIRELI, 17.035.997/0001-18,GLASS TEMPER,19/10/2012,2399101,Decoração| lapidação| gravação| vitrificação e outros trabalhos em cerâmica| louça| vidro e cristal,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,,ANA TORRES,200,,R ANA TORRES 200,PRQ MAIRA,PINHEIRAL,RJ,27197000,24,974052809,24,992770094,ATIVA,1,MÉDIA,5250000,1,166
GVINAH INDUSTRIA E COMERCIO DE ALIMENTOS E PANIFICACAO LTDA, 01.585.358/0002-77,GVINAH JAMMYJAM,25/09/2000,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,RIO MARIA,1100,,AV RIO MARIA 1100,CENTRO,RIO MARIA,PA,68530000,94,991393760,94,991383469,ATIVA,0,GRANDE,120000000,5,641
ROBERT BOSCH DIRECAO AUTOMOTIVA LTDA, 01.930.685/0001-38,,30/04/1997,2944100,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,2062,Sociedade Empresária Limitada ,AVENIDA,CONDE,ZEPPELIN,1935,1935 PARTE PREDIO 2,AV CD ZEPPELIN 1935 1935 PARTE PREDIO 2,EDEN,SOROCABA,SP,18103008,15,996607101,31,971258574,ATIVA,1,GRANDE,12125000,3,1254
TEC VIDRO INDUSTRIA. COMERCIO E SERVICOS TECNICOS LTDA  , 52.764.354/0001-06,,28/07/1983,2512800,Fabricação de esquadrias de metal,2054,Sociedade Anônima Fechada ,RUA,,SETE DE JULHO,32,52 56,R SETE DE JULHO 32 52 56,VILA SOCORRO,SAO PAULO,SP,4760070,11,989838293,11,991020112,ATIVA,1,GRANDE,56700000,5,261
GLORIA PARTICIPACOES S.A., 28.453.105/0001-15,,18/08/2017,6810201,Compra e venda de imóveis próprios,2054,Sociedade Anônima Fechada ,AVENIDA,,ATAULFO DE PAIVA,1251,SAL 901,AVENIDA ATAULFO DE PAIVA 01251       SAL 901,LEBLON,RIO DE JANEIRO,RJ,22440034,11,32546499,21,35903509,ATIVA,1,PEQUENA,900000,7,
CALCADOS BEBECE LTDA, 90.445.206/0001-18,,24/09/1985,1531901,Fabricação de calçados de couro,2062,Sociedade Empresária Limitada ,RUA,,HENRIQUE JUERGENSEN,1001,,R HENRIQUE JUERGENSEN 1001,SEDE,TRES COROAS,RS,95660000,51,997038133,51,996629118,ATIVA,1,MÉDIA,12125000,4,2607
COTRILAC - COMERCIO| TRANSPORTE E INDUSTRIA DE LACTEOS LTDA, 02.875.405/0001-07,,24/11/1998,1052000,Fabricação de laticínios,2062,Sociedade Empresária Limitada ,RUA,,LINHA CARLOS BARBOSA,100,,R LINHA CARLOS BARBOSA 100,ZONA RURAL,ANTA GORDA,RS,95980000,51,35050088,51,37561020,ATIVA,1,MÉDIA,4250000,2,166
COMPANHIA INDUSTRIAL CATAGUASES, 19.526.748/0001-50,,14/09/1966,1321900,Tecelagem de fios de algodão,2046,Sociedade Anônima Aberta ,PRACA,,JOSE INACIO PEIXOTO,28,,PC JOSE INACIO PEIXOTO 28,VILA TEREZA,CATAGUASES,MG,36772010,11,956475921,11,956474608,ATIVA,1,GRANDE,172000000,12,1866
ENGARRAFAMENTO PITU LTDA, 11.856.283/0001-94,PITU,04/08/1966,1111901,Fabricação de aguardente de cana-de-açúcar,2062,Sociedade Empresária Limitada ,AVENIDA,,AUREA FERRER DE MORAES,,KM 55 5,AV AUREA FERRER DE MORAES SN KM 55 5,CAMPINAS,VITORIA DE SANTO ANTAO,PE,55607010,81,996269229,81,999547750,ATIVA,1,GRANDE,340000000,31,508
COOPERATIVA AGRICOLA MISTA NOVA PALMA LTDA, 91.022.632/0001-01,,10/09/1966,4622200,Comércio atacadista de soja,2143,Cooperativa ,AVENIDA,,AMANCIPACAO,840,,AV AMANCIPACAO 840,,NOVA PALMA,RS,97250000,55,999763168,55,999733956,ATIVA,1,GRANDE,750000000,2,205
SOCIEDADE DE ENSINO SUPERIOR ESTACIO RIBEIRAO PRETO LTDA, 07.195.358/0001-66,ESTACIO RIBEIRAO PRETO,19/01/2005,8533300,Educação superior - pós-graduação e extensão,2062,Sociedade Empresária Limitada ,RUA,,ABRAHAO ISSA HALACK,980,,RUA ABRAHAO ISSA HALACK 980,RIBEIRANIA,RIBEIRAO PRETO,SP,14096160,16,35234150,16,36039557,ATIVA,1,GRANDE,90000000,9,1800
FUNDICAO B. B. LTDA., 54.560.487/0001-96,,29/07/1985,2451200,Fundição de ferro e aço,2062,Sociedade Empresária Limitada ,AVENIDA,DR,JOSE DE PAULA EDUARDO,1350,,AV DR JOSE DE PAULA EDUARDO 1350,DT INDUSTRIAL,MONTE ALTO,SP,15910000,16,32443680,16,996276665,ATIVA,1,MÉDIA,12125000,5,286
ACRILYS DO BRASIL LAMINADOS PLASTICOS LTDA, 93.831.832/0002-11,,27/09/2011,2229302,Fabricação de artefatos de material plástico para usos industriais,2062,Sociedade Empresária Limitada ,RODOVIA,,RST 453,,KM 198 1300,ROD RST 453 KM 198 1300,LAJEADO GRANDE,SAO FRANCISCO DE PAULA,RS,95400000,54,29918925,,,ATIVA,0,MÉDIA,56700000,2,153
ASSOCIACAO MANTENEDORA DO BRESCO ITUPEVA PARQUE CORPORATIVO, 24.221.448/0001-01,,18/01/2016,9411100,Atividades de organizações associativas patronais e empresariais,3999,Associação Privada,RODOVIA,,DOM GABRIEL P BUENO COUTO,1606,,ROD DOM GABRIEL P BUENO COUTO 1606,NOVA ERA,ITUPEVA,SP,13295000,11,40584565,,,ATIVA,1,PEQUENA,2600000,4,
AN ADMINISTRACOES E PARTICIPACOES LTDA, 04.060.874/0001-95,,13/09/2000,6810202,Aluguel de imóveis próprios,2062,Sociedade Empresária Limitada ,ALAMEDA,,MAMORE,206,SALA 206,AL MAMORE 535 206 SALA 206,ALPHAVILLE INDUSTRIAL,BARUERI,SP,6454910,11,46891100,11,41984797,ATIVA,1,PEQUENA,3400000,2,
TEXTILNOVA FIACAO LTDA, 60.182.904/0001-07,,04/07/1966,1311100,Preparação e fiação de fibras de algodão,2062,Sociedade Empresária Limitada ,RUA,,JOAQUIM PEDRO RIBEIRO,100,,R JOAQUIM PEDRO RIBEIRO 100 A,DT INDUST LUIZ CELAN,GUAXUPE,MG,37800000,12,996039254,31,32616656,ATIVA,1,GRANDE,41500000,2,602
PACIFIC LEATHER IMPORTACAO E EXPORTACAO LTDA, 03.728.736/0003-30,CPO - CURTUME DE PELES OVINAS,27/06/2019,1510600,Curtimento e outras preparações de couro,2062,Sociedade Empresária Limitada ,R,,ERENO EDWINO DILLENBURG,300,,R ERENO EDWINO DILLENBURG 300,FEITORIA NOVA,IVOTI,RS,93900000,51,35274545,,,ATIVA,0,,6750000,2,29
GSI INDUSTRIAL DE ALIMENTOS LTDA., 48.330.609/0001-55,LARANJAL ALIMENTOS,30/03/1977,1013901,Fabricação de produtos de carne,2062,Sociedade Empresária Limitada ,AVENIDA,,SILPA,21500,,AV SILPA 21500,DA PONTE,LARANJAL PAULISTA,SP,18500000,15,981116666,15,991249612,ATIVA,1,MÉDIA,30000000,12,669
EMPRESA BRASILEIRA DE REPAROS NAVAIS S A RENAVE, 42.362.160/0002-01,,15/03/1977,3011301,Construção de embarcações de grande porte,2054,Sociedade Anônima Fechada ,IA,,DO VIANA,,,IA DO VIANA ,BARRETO,NITEROI,RJ,24110240,21,985310188,,,ATIVA,0,MÉDIA,56700000,7,295
SERGYENE INDUSTRIA E COMERCIO LTDA, 01.478.812/0001-00,SERGYENE,15/10/1996,1742702,Fabricação de absorventes higiênicos,2062,Sociedade Empresária Limitada ,AVENIDA,EMPRESARIO,JOSE CARLOS SILVA,4560,DT INDUST,AV PREF HERACLITO ROLLEMBERG 4560 DT INDUST,FAROLANDIA,ARACAJU,SE,49030640,79,998438132,79,999006029,ATIVA,1,MÉDIA,12125000,4,219
FISCHER & FISCHER INDUSTRIA DE FIACAO DE ALGODAO LTDA, 21.460.898/0001-50,,24/11/2014,1311100,Preparação e fiação de fibras de algodão,2062,Sociedade Empresária Limitada ,RUA,,HUMBERTO KOHLER,239,,R HUMBERTO KOHLER 239,ALSACIA,GUABIRUBA,SC,88360000,47,33540409,,,ATIVA,1,MICRO,1650000,2,9
CERAMICA PARAPUAN LIMITADA, 23.117.286/0001-95,,10/08/1966,2342702,Fabricação de artefatos de cerâmica e barro cozido para uso na construção| exceto azulejos e pisos,2062,Sociedade Empresária Limitada ,AVENIDA,,OVIDIO DE ABREU,855,,OVIDIO DE ABREU,JARDIM DAS PITEIRAS,PARA DE MINAS,MG,35661230,38,32312505,31,32874332,ATIVA,1,PEQUENA,2600000,8,114
FACTOPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA, 54.476.270/0001-00,,28/05/1985,2229302,Fabricação de artefatos de material plástico para usos industriais,2062,Sociedade Empresária Limitada ,RUA,STO,ANTONIO DE ITABERAVA,474,SL 2 AND 1,R STO ANTONIO DE ITABERAVA 474 SL 2 AND 1,VL CARMOSINA,SAO PAULO,SP,8290210,11,25350006,11,25248592,ATIVA,1,MÉDIA,12125000,3,197
CONDOMINIO DO TERRA PARQUE SHOPPING, 08.154.896/0001-75,SHOPPING PATIO DIVINOPOLIS,12/07/2006,8112500,Condomínios prediais,3085,Condomínio Edilício ,RUA,,MOACIR JOSE LEITE,100,LJ 258 PA 2,R MOACIR JOSE LEITE 100 LJ 258 PA 2,SANTA CLARA,DIVINOPOLIS,MG,35500119,37,998378883,37,991044054,ATIVA,1,PEQUENA,1650000,,226
CIFARMA CIENTIFICA FARMACEUTICA LTDA, 17.562.075/0001-69,,23/09/1982,2121101,Fabricação de medicamentos alopáticos para uso humano,2062,Sociedade Empresária Limitada ,RODOVIA,,BR-153,,KM5 5 SENT ANAPOLIS S N A DIR,ROD BR 153 KM5 5 SENT ANAPOLIS S N A DIR,JARDIM GUANABARA,GOIANIA,GO,74675090,62,36453214,62,40124012,ATIVA,1,GRANDE,120000000,2,1290
COMPANHIA BRASILEIRA DE DISTRIBUICAO, 47.508.411/0001-56,,19/11/1981,4789099,Comércio varejista de outros produtos não especificados anteriormente,2046,Sociedade Anônima Aberta ,AVENIDA,BRIGADEIRO,LUIS ANTONIO,3172,,AV BRG LUIS ANTONIO 3172,JARDIM PAULISTA,SAO PAULO,SP,1402000,81,981053432,11,942495065,ATIVA,1,GRANDE,1500000000,12,6719
FATEX INDUSTRIA| COMERCIO| IMPORTACAO| EXPORTACAO LTDA, 07.280.722/0001-96,FATEX INDUSTRIA| COMERCIO| IMPORTACAO| EXPORTACAO LTDA,18/03/2005,1351100,Fabricação de artefatos têxteis para uso doméstico,2062,Sociedade Empresária Limitada ,AVENIDA,,YOUSSEF AHMAD EL JAROUCHE,6288,,AV YOUSSEF AHMAD EL JAROUCHE 6288,DISTRITO INDUSTRIAL II,TRES LAGOAS,MS,79613001,19,971170489,19,971172105,ATIVA,1,MÉDIA,8900000,7,997
SERTEX FIACAO E TECELAGEM LTDA, 03.126.940/0001-10,FIACAO E TECELAGEM INIMUTABA,26/04/1999,1330800,Fabricação de tecidos de malha,2062,Sociedade Empresária Limitada ,AVENIDA,,AFONSO PENA,4273,,AV AFONSO PENA 4273,SERRA,BELO HORIZONTE,MG,30130008,38,37231085,38,37231007,ATIVA,1,MÉDIA,12125000,4,232
CONDOMINIO DO SHOPPING CENTER TIJUCA, 01.870.834/0001-10,,19/03/1997,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,MARACANA,987,ANDAR 4 SALA 408 BLOCO 3,AVENIDA MARACANA 987 ANDAR 4 SALA 408 BLOCO 3,TIJUCA,RIO DE JANEIRO,RJ,20511000,21,30946338,21,35255300,ATIVA,1,PEQUENA,1900000,,287
CONDOMINIO CENTRO ADMINISTRATIVO SANTO AMARO, 06.019.015/0001-88,,12/08/2003,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,ALFREDO EGIDIO DE SOUZA ARANHA,100,,AV ALFREDO EGYDIO DE SOUZA ARANHA 100,VILA CRUZEIRO,SAO PAULO,SP,4726170,11,56914017,11,56877441,ATIVA,1,PEQUENA,1650000,,
INDUSTRIA CAMPINEIRA DE SABAO E GLICERINA LIMITADA, 46.044.616/0001-65,,14/04/1967,2029100,Fabricação de produtos químicos orgânicos não especificados anteriormente,2062,Sociedade Empresária Limitada ,RODOVIA,DOM,PEDRO I,,KM 133 6,ROD D PEDRO I KM 133 6,PARQUE IMPERADOR,CAMPINAS,SP,13097100,19,996919872,19,37585888,ATIVA,1,MÉDIA,41500000,4,120
SUPERMERCADO IQUEGAMI LTDA, 01.915.625/0001-46,IQUEGAMI SUPERMERCADO,20/06/1997,4711302,Comércio varejista de mercadorias em geral| com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,RUA,,JOSE CORREA DA SILVA,701,,R JOSE CORREA DA SILVA 701,CENTRO,GUARACI,SP,15420000,17,32859202,17,32859200,ATIVA,1,GRANDE,172000000,2,178
SAO JOAO IND. E COM. DE POLPAS LTDA, 18.129.014/0001-75,SABOR DO NORTE,15/05/2013,1031700,Fabricação de conservas de frutas,2062,Sociedade Empresária Limitada ,RODOVIA,,SAO FRANCISCO DO PARA IGARAPE ACU S N,,KM 3 PA 320,ROD SAO FRANCISCO DO PARA IGARAPE ACU S N KM 3 PA 320,ZONA RURAL,SAO FRANCISCO DO PARA,PA,68748000,91,37211562,,,ATIVA,1,MÉDIA,3000000,1,82
SUB-CONDOMINIO SHOPPING CENTER BARRASHOPPINGSUL, 10.429.828/0001-13,,16/10/2008,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,DIARIO DE NOTICIAS,300,300,AV DIARIO DE NOTICIAS 300 300,CRISTAL,PORTO ALEGRE,RS,90810080,51,997120988,51,995683618,ATIVA,1,PEQUENA,41500000,,177
OURENSE DO BRASIL INDUSTRIA DE ARTEFATOS DE METAL LTDA, 10.277.146/0001-32,,18/08/2008,2599399,Fabricação de outros produtos de metal não especificados anteriormente,2062,Sociedade Empresária Limitada ,ESTRADA,,RJ,127,S N LT 8 PARTE LT INDUSTRIAL,EST RJ 127 S N LT 8 PARTE LT INDUSTRIAL,LAGES,PARACAMBI,RJ,26600000,21,967496460,21,996687621,ATIVA,1,GRANDE,172000000,2,1202
SANTA CASA DE MISERICORDIA DE SOBRAL, 07.818.313/0001-09,SANTA CASA DE MISERICORDIA DE SOBRAL,27/11/1967,8610102,Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências,3999,Associação Privada,RUA,,ANTONIO CRISOSTOMO DE MELO,919,PRAGA MNS,R ANTONIO CRISOSTOMO DE MELO 919 PRAGA MNS,CENTRO,SOBRAL,CE,62010550,88,36131470,88,36771956,ATIVA,1,MÉDIA,8900000,3,2275
DU PONT DO BRASIL S A, 61.064.929/0001-79,DU PONT,11/07/1966,7020400,Atividades de consultoria em gestão empresarial| exceto consultoria técnica específica,2054,Sociedade Anônima Fechada ,ALAMEDA,,ITAPECURU,506,506 1,AL ITAPECURU 506 506 1,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAVILLE.,BARUERI,SP,6454080,65,998089528,99,991567540,ATIVA,1,GRANDE,1500000000,13,1242
ARTEFATOS DE BORRACHA PCR LTDA, 91.831.016/0001-00,,05/02/1988,2219600,Fabricação de artefatos de borracha não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,ANTONIO DA RE,81,,RUA ANTONIO DA RE 81,SALGADO,BENTO GONCALVES,RS,95706580,54,21059310,54,21059316,ATIVA,1,MÉDIA,8900000,2,145
LINEA BRASIL IND E COM DE MOVEIS LTDA, 95.387.569/0001-68,LINEA BRASIL,19/11/1992,3101200,Fabricação de móveis com predominância de madeira,2062,Sociedade Empresária Limitada ,RUA,,JURUTAU,1750,PRQ INDUSTRIA II,R JURUTAU 1750 PRQ INDUSTRIA II,PARQUE INDUSTRIAL II,ARAPONGAS,PR,86703070,43,991490367,43,999564165,ATIVA,1,GRANDE,120000000,2,964
RTK LAMINACAO DE METAIS LTDA, 47.087.721/0001-44,RTK,06/05/1975,2452100,Fundição de metais não ferrosos e suas ligas,2062,Sociedade Empresária Limitada ,RUA,,ANTONIO RUVOLO,520,,R ANTONIO RUVOLO 520,NUCLEO ITAIM,FERRAZ DE VASCONCELOS,SP,8540215,11,35399022,11,35399010,ATIVA,1,MÉDIA,236000000,2,221
MODELLE CONFORMACOES LTDA, 02.913.230/0001-77,,23/09/1998,1414200,Fabricação de acessórios do vestuário| exceto para segurança e proteção,2062,Sociedade Empresária Limitada ,RUA,,ARNO FLECK,11,,R ARNO FLECK 11,SAO JORGE,NOVO HAMBURGO,RS,93537070,51,35942630,51,35873116,ATIVA,1,PEQUENA,3800000,2,606
SANMINA-SCI DO BRASIL INTEGRATION LTDA, 01.498.525/0001-61,ADVANCED,18/10/1996,2622100,Fabricação de periféricos para equipamentos de informática,2062,Sociedade Empresária Limitada ,RODOVIA,JORNALISTA,FRANCISCO AGUIRRE PROENCA,,KM 12 PARTE,ROD JORN FRANCISCO AGUIRRE PROENCA KM 12 PARTE,JARDIM AMANDA II,HORTOLANDIA,SP,13188129,11,33776425,19,38659100,ATIVA,1,MÉDIA,12125000,4,984
TEXTIL SAO JOAO S/A, 59.760.553/0001-95,TEXTIL SAO JOAO,14/09/1970,1314600,Fabricação de linhas para costurar e bordar,2054,Sociedade Anônima Fechada ,RODOVIA,,SP-342,,SP TREZENTOS E QUARENTA E DOIS,ROD SP TREZENTOS E QUARENTA E DOIS,PARQUE RESIDENCIAL JARDIM SAO DOMINGOS,SAO JOAO DA BOA VISTA,SP,13874243,19,992942098,19,992191324,ATIVA,1,GRANDE,41500000,5,409
FLEXCOAT PRODUTOS AUTO-ADESIVOS S/A, 48.062.707/0001-59,FLEXCOAT,01/11/1976,1813099,Impressão de material para outros usos,2054,Sociedade Anônima Fechada ,RUA,,PEDRO BASSI,576,,R PEDRO BASSI 576,STO ANTONIO,LOUVEIRA,SP,13290000,19,38484303,19,31414056,ATIVA,1,GRANDE,56700000,5,318
MEGA PACK EMBALAGENS LTDA, 11.790.756/0001-06,,07/04/2010,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RODOVIA,,,,KM 3,ROD KM 3,UBA,VISCONDE DO RIO BRANCO,MG,36520000,32,999476926,32,999597493,ATIVA,1,MÉDIA,22400000,3,187
DALLEACO SOLUCOES EM ACOS PLANOS LTDA, 07.480.681/0001-81,,17/06/2005,2599399,Fabricação de outros produtos de metal não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,SENADOR,SALGADO FILHO,422,BR 116 CX 1540,AV SEN SALGADO FILHO 422 BR 116 CX 1540,RIO DOS SINOS,SAO LEOPOLDO,RS,93110351,51,996181123,51,997036267,ATIVA,1,MÉDIA,5750000,2,248
FRIGORIFICO FRANBOM LTDA, 24.873.010/0003-61,FRANBOM,30/12/1971,1012101,Abate de aves,2062,Sociedade Empresária Limitada ,RODOVIA,,SAO PEDRO DOS FERROS S N,,KM 1,ROD SAO PEDRO DOS FERROS S N KM 1,ZONA RURAL,SAO PEDRO DOS FERROS,MG,35360000,33,999372929,33,999482208,ATIVA,0,MÉDIA,56700000,3,569
SUGAR SHOES INDUSTRIA DE CALCADOS LTDA., 04.358.307/0007-05,,19/09/2018,1539400,Fabricação de calçados de materiais não especificadosanteriormente,2062,Sociedade Empresária Limitada ,RUA,,VICENTE PRIETO,3601,,R VICENTE PRIETO 3601,JOANETA,PICADA CAFE,RS,95166000,54,32852600,,,ATIVA,1,GRANDE,120000000,3,591
CENTRO DE ENSINO SUPERIOR DE MARABA LTDA, 07.333.953/0001-10,CEMAR,07/04/2005,8532500,Educação superior - graduação e pós-graduação,2062,Sociedade Empresária Limitada ,RODOVIA,,BR-230,,KM 5 TRANSAMAZONICA,ROD BR DUZENTOS E TRINTA KM 5 TRANSAMAZONICA,AMAPA,MARABA,PA,68502700,94,992866625,94,992336433,ATIVA,1,MÉDIA,4250000,5,380
GRANLATINA GRANITOS E MARMORES DO BRASIL LTDA , 09.041.650/0001-50,GRANLATINA GRANITOS E MARMORES DO BRASIL,27/08/2007,2391503,Aparelhamento de placas e execução de trabalhos em mármore| granito| ardósia e outras pedras,2062,Sociedade Empresária Limitada ,RODOVIA,,DO CAFE GETHER LOPES DE FARIAS,,KM 33 RES ES,ROD DO CAFE SN KM 33 RES ES,CARLOS GERMANO NAUMANN,COLATINA,ES,29705200,27,997818795,27,999494530,ATIVA,1,MÉDIA,270000,3,64
FITAS FLAX DA AMAZONIA LTDA, 07.169.868/0001-69,,10/11/2004,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,TORQUATO TAPAJOS,3386,X COL SAN,AV TORQUATO TAPAJOS 3386 X COL SAN,COLONIA SANTO ANTONIO,MANAUS,AM,69093018,92,995294147,92,991904443,ATIVA,1,GRANDE,172000000,2,391
ELEVADORES ATLAS SCHINDLER LTDA., 00.028.986/0147-53,,13/07/1998,2822401,Fabricação de máquinas| equipamentos e aparelhos para transporte e elevação de pessoas| peças e aces,2062,Sociedade Empresária Limitada ,AVENIDA,,ANGELINA RICCI VEZOZZO,3400,Q E 2 3400,R ANGELINA RICCI VEZOZZO 3400 Q E 2 3400,INDUSTRIAS LEVES,LONDRINA,PR,86087340,43,991238087,43,991235544,ATIVA,0,GRANDE,1500000000,10,391
UNYLASER - INDUSTRIA METALURGICA LTDA, 05.897.063/0001-06,,15/09/2003,2599399,Fabricação de outros produtos de metal não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,DALTON LAHN DOS REIS,269,R DALTON LAHN DOS REIS 26,R DALTON LAHN DOS REIS 269 R DALTON LAHN DOS REIS 26,CIDADE NOVA,CAXIAS DO SUL,RS,95112090,54,996341532,54,999084984,ATIVA,1,GRANDE,41500000,3,379
VILLA GERMANIA ALIMENTOS S.A., 00.514.179/0001-03,,22/03/1995,1012101,Abate de aves,2054,Sociedade Anônima Fechada ,RUA,,ANTONINA,265,ALA B,R ANTONINA 265 ALA B,ENCANO NORTE,INDAIAL,SC,89130000,47,999282425,47,988229888,ATIVA,1,GRANDE,12125000,7,857
NKG STOCKLER LTDA., 61.620.753/0001-94,,30/05/1967,4621400,Comércio atacadista de café em grão,2062,Sociedade Empresária Limitada ,RUA,,QUINZE DE NOVEMBRO,75,E 65 LJS A B,R QUINZE DE NOVEMBRO 75 E 65 LJS A B,CENTRO,SANTOS,SP,11010151,33,999092809,13,974178333,ATIVA,1,MÉDIA,12125000,5,81
KENNELAN LAVANDERIA E TINTURARIA INDUSTRIAL LTDA, 72.455.587/0001-34,,25/08/1966,1340599,Outros serviços de acabamento em fios| tecidos| artefatos têxteis e peças do vestuário,2062,Sociedade Empresária Limitada ,AVENIDA,,JOSE VIDOTTO,500,,AV JOSE VIDOTTO 500,PARAISO,TIETE,SP,18530000,15,32858588,15,32858582,ATIVA,1,MÉDIA,12125000,3,594
CONDOMINIO DO BEACH CLASS CONVENTION & FLATS, 18.631.284/0001-80,CONDOMINIO DO BEACH CLASS CONVENTION & FLATS,30/07/2013,8112500,Condomínios prediais,3085,Condomínio Edilício ,RUA,,MARIA CAROLINA,661,COND TORRE A E B,R MARIA CAROLINA 661 COND TORRE A E B,BOA VIAGEM,RECIFE,PE,51020220,81,32045949,81,32041826,ATIVA,1,MÉDIA,1650000,,182
QUIMIL - INDUSTRIA E COMERCIO DE RESINAS| CARGAS MINERAIS E TINTAS LTDA, 07.740.790/0001-90,QUIMIL,09/12/2005,2071100,Fabricação de tintas| vernizes| esmaltes e lacas,2062,Sociedade Empresária Limitada ,AV,,GOVERNADOR FAUSTINO DE ALBUQUERQUE,,,AV GOVERNADOR FAUSTINO DE ALBUQUERQUE ,QUANDU,PACATUBA,CE,61800100,88,981437129,85,32247482,ATIVA,1,MÉDIA,185000,5,102
CERAMICA PRINCESA E TRANSPORTE LTDA, 83.631.051/0001-49,,03/04/1979,2342702,Fabricação de artefatos de cerâmica e barro cozido para uso na construção| exceto azulejos e pisos,2062,Sociedade Empresária Limitada ,RUA,,ALFREDO SWAROWSKY,1505,,RUA ALFREDO SWAROWSKY 1505,BELA ALIANCA,RIO DO SUL,SC,89161375,47,33005100,47,35214813,ATIVA,1,MÉDIA,12125000,4,143
ARDOSIA NACIONAL IMPORTACAO E EXPORTACAO LTDA, 01.590.113/0001-57,ARDOSIA NACIONAL,13/11/1996,2391503,Aparelhamento de placas e execução de trabalhos em mármore| granito| ardósia e outras pedras,2062,Sociedade Empresária Limitada ,RUA,PE,JOAO PORTO,2200,,R PE JOAO PORTO 2200,TREVO,POMPEU,MG,35640000,37,998241673,37,991550331,ATIVA,1,MÉDIA,6750000,4,59
